what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core.ddlgen,2.2.200.v201603180253,"org.eclipse.jpt.jpa.eclipselink.core.ddlgen",1582775709626
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core,2.4.100.v201603180253,"org.eclipse.jpt.jpa.eclipselink.core",1582775709627
stopped,bundle,org.eclipse.jpt.jpa.gen,2.3.200.v201512212242,"org.eclipse.jpt.jpa.gen",1582775709627
stopped,bundle,org.eclipse.jpt.jpa.core,3.5.0.v201603181811,"org.eclipse.jpt.jpa.core",1582775709628
stopped,bundle,org.eclipse.jpt.jpa.db,2.2.200.v201603180253,"org.eclipse.jpt.jpa.db",1582775709629
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.1.0.201603142002,"org.eclipse.datatools.enablement.jdt.classpath",1582775709629
stopped,bundle,org.eclipse.jdt.apt.ui,3.4.100.v20160418-1457,"org.eclipse.jdt.apt.ui",1582775709629
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.300.v201606081655,"org.eclipse.jst.server.preview.adapter",1582775709630
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081755,"org.eclipse.wst.xsl.jaxp.debug.ui",1582775709630
stopped,bundle,org.eclipse.jdt.debug.ui,3.7.201.v20160811-0450,"org.eclipse.jdt.debug.ui",1582775709631
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.1.200.v201603180253,"org.eclipse.jpt.dbws.eclipselink.ui",1582775709631
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.ui,1.4.200.v201603180253,"org.eclipse.jpt.jaxb.eclipselink.ui",1582775709632
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.5.100.v201603180253,"org.eclipse.jpt.jaxb.ui",1582775709632
stopped,bundle,org.eclipse.jpt.common.ui,1.4.100.v201607281951,"org.eclipse.jpt.common.ui",1582775709633
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201302011850,"org.eclipse.jst.common.annotations.ui",1582775709633
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.910.v201701262130,"org.eclipse.jst.ejb.ui",1582775709634
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201302011850,"org.eclipse.jst.j2ee.webservice.ui",1582775709634
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.900.v201605251556,"org.eclipse.jst.servlet.ui",1582775709634
